carrier,departure_time,stops,source,destination,itinerary_type,travel_date,days_before_travel,price
Silkair,9:05,Non-stop,SIN,BLR,one-way,1/5/20,17,"1,000"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,1/5/20,17,"1,000"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,1/5/20,17,"1,000"
IndiGo,2:45,Non-stop,SIN,BLR,one-way,2/5/20,18,184
Silkair,9:05,Non-stop,SIN,BLR,one-way,2/5/20,18,"1,000"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,2/5/20,18,"1,000"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,2/5/20,18,"1,000"
IndiGo,2:45,Non-stop,SIN,BLR,one-way,3/5/20,19,184
Silkair,9:05,Non-stop,SIN,BLR,one-way,3/5/20,19,"1,000"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,3/5/20,19,"1,000"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,3/5/20,19,"1,000"
IndiGo,2:45,Non-stop,SIN,BLR,one-way,4/5/20,20,184
Silkair,9:05,Non-stop,SIN,BLR,one-way,4/5/20,20,"1,000"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,4/5/20,20,"1,000"
IndiGo,2:45,Non-stop,SIN,BLR,one-way,5/5/20,21,184
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,5/5/20,21,"1,000"
IndiGo,2:45,Non-stop,SIN,BLR,one-way,6/5/20,22,184
Silkair,9:05,Non-stop,SIN,BLR,one-way,6/5/20,22,"1,000"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,6/5/20,22,"1,000"
IndiGo,2:45,Non-stop,SIN,BLR,one-way,7/5/20,23,184
Silkair,9:05,Non-stop,SIN,BLR,one-way,7/5/20,23,"1,000"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,7/5/20,23,"1,000"
IndiGo,2:45,Non-stop,SIN,BLR,one-way,8/5/20,24,184
Silkair,9:05,Non-stop,SIN,BLR,one-way,8/5/20,24,"1,000"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,8/5/20,24,"1,000"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,8/5/20,24,"1,000"
IndiGo,2:45,Non-stop,SIN,BLR,one-way,9/5/20,25,184
Silkair,9:05,Non-stop,SIN,BLR,one-way,9/5/20,25,"1,000"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,9/5/20,25,"1,000"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,9/5/20,25,"1,000"
IndiGo,2:45,Non-stop,SIN,BLR,one-way,10/5/20,26,184
Silkair,9:05,Non-stop,SIN,BLR,one-way,10/5/20,26,"1,000"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,10/5/20,26,"1,000"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,10/5/20,26,"1,000"
IndiGo,2:45,Non-stop,SIN,BLR,one-way,11/5/20,27,184
Silkair,9:05,Non-stop,SIN,BLR,one-way,11/5/20,27,"1,000"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,11/5/20,27,"1,000"
IndiGo,2:45,Non-stop,SIN,BLR,one-way,12/5/20,28,184
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,12/5/20,28,"1,000"
IndiGo,2:45,Non-stop,SIN,BLR,one-way,13/5/20,29,184
Silkair,9:05,Non-stop,SIN,BLR,one-way,13/5/20,29,"1,000"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,13/5/20,29,"1,000"
IndiGo,2:45,Non-stop,SIN,BLR,one-way,14/5/20,30,184
Silkair,9:05,Non-stop,SIN,BLR,one-way,14/5/20,30,"1,000"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,14/5/20,30,"1,000"
Air-India Express,10:45,Non-stop,SIN,BLR,one-way,15/5/20,31,161
IndiGo,2:45,Non-stop,SIN,BLR,one-way,15/5/20,31,184
Silkair,9:05,Non-stop,SIN,BLR,one-way,15/5/20,31,"1,000"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,15/5/20,31,"1,000"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,15/5/20,31,"1,000"
IndiGo,2:45,Non-stop,SIN,BLR,one-way,16/5/20,32,184
Silkair,9:05,Non-stop,SIN,BLR,one-way,16/5/20,32,"1,000"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,16/5/20,32,"1,000"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,16/5/20,32,"1,000"
Air-India Express,10:45,Non-stop,SIN,BLR,one-way,17/5/20,33,161
IndiGo,2:45,Non-stop,SIN,BLR,one-way,17/5/20,33,184
Silkair,9:05,Non-stop,SIN,BLR,one-way,17/5/20,33,"1,000"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,17/5/20,33,"1,000"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,17/5/20,33,"1,000"
Air-India Express,10:45,Non-stop,SIN,BLR,one-way,18/5/20,34,161
IndiGo,2:45,Non-stop,SIN,BLR,one-way,18/5/20,34,184
Silkair,9:05,Non-stop,SIN,BLR,one-way,18/5/20,34,"1,000"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,18/5/20,34,"1,000"
IndiGo,2:45,Non-stop,SIN,BLR,one-way,19/5/20,35,184
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,19/5/20,35,"1,000"
Air-India Express,10:45,Non-stop,SIN,BLR,one-way,20/5/20,36,161
IndiGo,2:45,Non-stop,SIN,BLR,one-way,20/5/20,36,184
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,20/5/20,36,"1,000"
IndiGo,2:45,Non-stop,SIN,BLR,one-way,21/5/20,37,184
Silkair,9:05,Non-stop,SIN,BLR,one-way,21/5/20,37,"1,000"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,21/5/20,37,"1,000"
Air-India Express,10:45,Non-stop,SIN,BLR,one-way,22/5/20,38,161
IndiGo,2:45,Non-stop,SIN,BLR,one-way,22/5/20,38,184
Silkair,9:05,Non-stop,SIN,BLR,one-way,22/5/20,38,"1,000"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,22/5/20,38,"1,000"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,22/5/20,38,"1,000"
IndiGo,2:45,Non-stop,SIN,BLR,one-way,23/5/20,39,184
Silkair,9:05,Non-stop,SIN,BLR,one-way,23/5/20,39,"1,000"
Singapore Airlines,20:05,Non-stop,SIN,BLR,one-way,23/5/20,39,"1,000"
Singapore Airlines,22:20,Non-stop,SIN,BLR,one-way,23/5/20,39,"1,000"
IndiGo,2:45,Non-stop,SIN,BLR,one-way,24/5/20,40,184
Air-India Express,10:45,Non-stop,SIN,BLR,one-way,24/5/20,40,229
Silkair,9:05,Non-stop,SIN,BLR,one-way,24/5/20,40,"1,000"
