carrier,departure_time,stops,source,destination,itinerary_type,travel_date,days_before_travel,price
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-01,15,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-01,15,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-01,15,Price unavailable
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-02,16,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-02,16,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-02,16,Price unavailable
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-03,17,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-03,17,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-03,17,Price unavailable
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-04,18,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-04,18,"1,064"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-04,18,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-05,19,261
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-05-05,19,433
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-05,19,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-05,19,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-05,19,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-06,20,261
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-06,20,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-06,20,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-06,20,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-07,21,261
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-05-07,21,358
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-07,21,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-07,21,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-07,21,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-08,22,271
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-08,22,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-08,22,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-08,22,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-09,23,271
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-05-09,23,368
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-09,23,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-09,23,"1,064"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-09,23,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-10,24,271
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-10,24,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-10,24,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-10,24,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-11,25,261
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-05-11,25,358
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-11,25,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-11,25,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-11,25,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-12,26,261
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-05-12,26,358
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-12,26,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-12,26,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-12,26,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-13,27,261
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-13,27,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-13,27,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-13,27,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-14,28,261
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-05-14,28,358
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-14,28,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-14,28,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-14,28,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-15,29,383
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-15,29,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-15,29,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-15,29,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-16,30,383
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-05-16,30,448
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-16,30,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-16,30,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-16,30,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-17,31,383
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-17,31,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-17,31,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-17,31,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-18,32,373
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-05-18,32,513
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-18,32,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-18,32,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-18,32,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-19,33,373
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-05-19,33,438
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-05-19,33,"1,012"
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-05-19,33,"1,012"
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-05-19,33,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-05-20,34,373
