carrier,departure_time,stops,source,destination,itinerary_type,travel_date,days_before_travel,price
Scoot,22:50,Non-stop,SIN,MAA,one-way,1/5/20,17,134
IndiGo,11:30,Non-stop,SIN,MAA,one-way,1/5/20,17,139
Silkair,7:40,Non-stop,SIN,MAA,one-way,1/5/20,17,970
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,1/5/20,17,970
Scoot,22:50,Non-stop,SIN,MAA,one-way,2/5/20,18,126
IndiGo,11:30,Non-stop,SIN,MAA,one-way,2/5/20,18,139
IndiGo,5:30,Non-stop,SIN,MAA,one-way,2/5/20,18,139
Air-India Express,0:10,Non-stop,SIN,MAA,one-way,2/5/20,18,218
Air India,9:00,Non-stop,SIN,MAA,one-way,2/5/20,18,303
Silkair,7:40,Non-stop,SIN,MAA,one-way,2/5/20,18,970
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,2/5/20,18,970
Scoot,22:50,Non-stop,SIN,MAA,one-way,3/5/20,19,126
IndiGo,11:30,Non-stop,SIN,MAA,one-way,3/5/20,19,139
Air-India Express,0:10,Non-stop,SIN,MAA,one-way,3/5/20,19,168
IndiGo,5:30,Non-stop,SIN,MAA,one-way,3/5/20,19,139
Silkair,7:40,Non-stop,SIN,MAA,one-way,3/5/20,19,970
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,3/5/20,19,970
Scoot,22:50,Non-stop,SIN,MAA,one-way,4/5/20,20,126
IndiGo,11:30,Non-stop,SIN,MAA,one-way,4/5/20,20,139
Air-India Express,0:10,Non-stop,SIN,MAA,one-way,4/5/20,20,150
IndiGo,5:30,Non-stop,SIN,MAA,one-way,4/5/20,20,139
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,4/5/20,20,970
Scoot,22:50,Non-stop,SIN,MAA,one-way,5/5/20,21,134
IndiGo,11:30,Non-stop,SIN,MAA,one-way,5/5/20,21,139
Air-India Express,0:10,Non-stop,SIN,MAA,one-way,5/5/20,21,150
IndiGo,5:30,Non-stop,SIN,MAA,one-way,5/5/20,21,139
Air India,9:00,Non-stop,SIN,MAA,one-way,5/5/20,21,293
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,5/5/20,21,970
IndiGo,11:30,Non-stop,SIN,MAA,one-way,6/5/20,22,139
Scoot,22:50,Non-stop,SIN,MAA,one-way,6/5/20,22,156
Air-India Express,0:10,Non-stop,SIN,MAA,one-way,6/5/20,22,168
IndiGo,5:30,Non-stop,SIN,MAA,one-way,6/5/20,22,139
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,6/5/20,22,970
Scoot,22:50,Non-stop,SIN,MAA,one-way,7/5/20,23,126
IndiGo,11:30,Non-stop,SIN,MAA,one-way,7/5/20,23,139
Air-India Express,0:10,Non-stop,SIN,MAA,one-way,7/5/20,23,150
IndiGo,5:30,Non-stop,SIN,MAA,one-way,7/5/20,23,139
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,7/5/20,23,970
Scoot,22:50,Non-stop,SIN,MAA,one-way,8/5/20,24,134
IndiGo,11:30,Non-stop,SIN,MAA,one-way,8/5/20,24,139
Air-India Express,0:10,Non-stop,SIN,MAA,one-way,8/5/20,24,150
IndiGo,5:30,Non-stop,SIN,MAA,one-way,8/5/20,24,139
Silkair,7:40,Non-stop,SIN,MAA,one-way,8/5/20,24,970
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,8/5/20,24,970
Scoot,22:50,Non-stop,SIN,MAA,one-way,9/5/20,25,126
IndiGo,11:30,Non-stop,SIN,MAA,one-way,9/5/20,25,139
Air-India Express,0:10,Non-stop,SIN,MAA,one-way,9/5/20,25,150
IndiGo,5:30,Non-stop,SIN,MAA,one-way,9/5/20,25,139
Air India,9:00,Non-stop,SIN,MAA,one-way,9/5/20,25,303
Silkair,7:40,Non-stop,SIN,MAA,one-way,9/5/20,25,970
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,9/5/20,25,970
Scoot,22:50,Non-stop,SIN,MAA,one-way,10/5/20,26,134
IndiGo,11:30,Non-stop,SIN,MAA,one-way,10/5/20,26,139
Air-India Express,0:10,Non-stop,SIN,MAA,one-way,10/5/20,26,150
IndiGo,5:30,Non-stop,SIN,MAA,one-way,10/5/20,26,139
Silkair,7:40,Non-stop,SIN,MAA,one-way,10/5/20,26,970
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,10/5/20,26,970
Scoot,22:50,Non-stop,SIN,MAA,one-way,11/5/20,27,134
IndiGo,11:30,Non-stop,SIN,MAA,one-way,11/5/20,27,139
Air-India Express,0:10,Non-stop,SIN,MAA,one-way,11/5/20,27,150
IndiGo,5:30,Non-stop,SIN,MAA,one-way,11/5/20,27,139
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,11/5/20,27,970
IndiGo,11:30,Non-stop,SIN,MAA,one-way,12/5/20,28,139
Scoot,22:50,Non-stop,SIN,MAA,one-way,12/5/20,28,143
Air-India Express,0:10,Non-stop,SIN,MAA,one-way,12/5/20,28,150
IndiGo,5:30,Non-stop,SIN,MAA,one-way,12/5/20,28,139
Air India,9:00,Non-stop,SIN,MAA,one-way,12/5/20,28,293
Singapore Airlines,20:25,Non-stop,SIN,MAA,one-way,12/5/20,28,970
Scoot,22:50,Non-stop,SIN,MAA,one-way,13/5/20,29,134
